"Nom de la demande:Mons_2010_2011";;;;;;;;
"Pas de temps:Journalier";;;;;;;;
"Date de début:01/01/2010";;;;;;;;
"Date de fin:31/12/2011";;;;;;;;
"Station(s):51242002";;;;;;;;
;;;;;;;;
"ETPP:EVAPOTRANSPIRATION PENMAN (MM/DAY)";;;;;;;;
"RG: GLOBAL RADIATION (MEGAJOULES/M2)";;;;;;;;
"RR:RAINFALL (MM)";;;;;;;;
"TN:MINIMAL TEMPERATURE (°C)";;;;;;;;
"TX:MAXIMAL TEMPERATURE (°C)";;;;;;;;
;;;;;;;;
;;;;;;;;
"NUM_POSTE";"AN";"MOIS";"JOUR";"ETPP";"RG";"RR";"TN";"TX"
51242002;2010;12;12;0.2;2.89;0;2.6;6.5
51242002;2010;12;13;0;4.91;0;-3.3;1.8
51242002;2010;12;14;0;3.88;0;-3.4;-0.4
51242002;2010;12;15;0;1.73;0;-5.7;2.6
51242002;2010;12;16;0.2;0.75;9;0.3;4.2
51242002;2010;12;17;0;4.51;0.5;-3.7;-0.9
51242002;2010;12;18;0;1.6;1;-12.5;0.1
51242002;2010;12;19;0.2;1.34;17;-4.1;2.1
51242002;2010;12;20;0;2.87;1;-8.9;1.4
51242002;2010;12;21;0;2.19;0;-2.9;1.7
51242002;2010;12;22;0;2.08;2.5;-1.1;0.7
51242002;2010;12;23;0;1.59;1.5;-1.8;-0.5
51242002;2010;12;24;0.4;1.95;0;-1.6;-0.5
51242002;2010;12;25;0;5.42;0;-6;-1.6
51242002;2010;12;26;0;2.29;0;-6.1;-0.3
51242002;2010;12;27;0;3.13;0;-2.5;-1.3
51242002;2010;12;28;0;2.06;0.5;-4.6;0.8
51242002;2010;12;29;0;2.3;0;0.4;1.8
51242002;2010;12;30;0;2.18;0;-1.2;0.7
51242002;2010;12;31;0;2.54;0;-2.1;-0.4
51242002;2011;1;1;0;1.32;0;-2.1;2.4
51242002;2011;1;2;0;4.32;0;0.6;3.8
51242002;2011;1;3;0;3;0;-1.2;2.4
51242002;2011;1;4;0;3.53;0;-3.5;0
51242002;2011;1;5;0;4.43;7;-3.4;4.7
51242002;2011;1;6;0;0.77;10.5;1.4;11.4
51242002;2011;1;7;0;1.21;4.5;5.9;11.2
51242002;2011;1;8;0.9;1.71;9;8.9;11.9
51242002;2011;1;9;0;3.73;0;2.8;7.4
51242002;2011;1;10;0;3.31;1.5;-0.5;3.6
51242002;2011;1;11;0.2;1.7;3.5;0.3;8.8
51242002;2011;1;12;0.3;0.64;7.5;4.3;12
51242002;2011;1;13;0.1;1.3;0.5;9.9;13.4
51242002;2011;1;14;1.2;2.27;3;9.4;13.1
51242002;2011;1;15;0.5;3.67;0;7.2;11
51242002;2011;1;16;0.3;4.65;0;6;12.2
51242002;2011;1;17;0;1.35;0.5;4;8.8
51242002;2011;1;18;0.5;1.8;0.5;5.5;8.6
51242002;2011;1;19;0.1;2.23;0.5;0.5;3.9
51242002;2011;1;20;0;5.6;0;1.5;5.3
51242002;2011;1;21;0.1;3.03;0;-0.8;1.8
51242002;2011;1;22;0.1;1.58;0;0.1;5.8
51242002;2011;1;23;0.2;1.61;0.5;2.1;6
51242002;2011;1;24;0.4;2.77;0;4;7
51242002;2011;1;25;0;1.31;3;0.1;6.3
51242002;2011;1;26;0.5;1.94;2.5;3.9;7.1
51242002;2011;1;27;0.5;5.1;0;0.4;3.2
51242002;2011;1;28;0.4;4.2;0;-2.5;1
